accession,species,n_samples,year,retrieval,verdict,reason_code,reason_source,title,url,annotation_status,n_case,n_control
GSE304075,Mus musculus,6,2025,original,pending,usable_pending_file_check,automatic_screen,HSPA1A can alleviate CFA-induced inflammatory pain by modulating macrophages,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304075,skipped_existing,,
GSE304488,Mus musculus,16,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,EET Reduction Contributes to Granulosa Cell Senescence And Endometriosis-Associated Infertility Via the PI3K/AKT/mTOR Signaling Pathway,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304488,no_split,,
GSE305138,Mus musculus,12,2026,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Microglial TIA1 in Lateral Septum Facilitates Chronic Inflammatory Pain via Regulating NF-κB Signaling Pathway,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305138,annotated,6.0,6.0
GSE306181,Mus musculus,9,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,M2 microglia-derived exosomes inhibit p38 MAPK signaling pathways and GPX4-mediated neuronal ferroptosis in neuropathic pain [BV2_mRNAseq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306181,no_split,,
GSE306455,Mus musculus,9,2025,original,include,already_in_pooled_analysis,automatic_screen,ACVR1-mediated glycolytic reprogramming promotes histone lactylation and neuronal pyroptosis in neuropathic pain [RNA-Seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306455,skipped_existing,,
GSE30691,Rattus norvegicus,56,2011,original,include,already_in_pooled_analysis,contrast_audit_2026_08_30_contrast_repaired,Multiple chronic pain states are associated with a common amino acid-changing allele in KCNS1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30691,skipped_existing,,
GSE308534,Mus musculus,20,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,RNA-seq of paraventricular thalamus (PVT) and posterior insular cortex (pIC) in a mouse model of STZ-induced painful diabetic neuropathy with anxiety-like behavior,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308534,no_split,,
GSE308643,Mus musculus,22,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,A pathway from the anterior cingulate cortex to the lateral habenula controls chronic pain induced depression in male mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308643,no_split,,
GSE310557,Homo sapiens,17,2025,amendment_2026_08_28,exclude,single_cell_not_bulk_expression,rescreen_2026_09_12,Multi-omics analysis identifies a microbiota–bile acid–TLR signaling axis driving bladder injury in interstitial cystitis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310557,,,
GSE310627,Homo sapiens,6,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Menstrual Fluid-Derived Small Extracellular Vesicles: A Novel Reservoir with Distinct Molecular Signatures and Implications for Endometriosis Etiopathology,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310627,no_split,,
GSE311957,Rattus norvegicus,6,2025,original,pending,usable_pending_file_check,automatic_screen,In situ piezoelectricity induces M2 polarization of macrophages to regulate Schwann cells for alleviating neuropathic pain of CCI rats,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311957,skipped_existing,,
GSE312510,Homo sapiens,8,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Single-nucleus RNA sequencing of the cells obtained from acupoint BL23 (Shenshu) in low back pain.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312510,no_split,,
GSE313030,Rattus norvegicus,6,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,A Light-Driven Bioactive Nerve Conduit for Trigeminal Neuralgia: Integrated Decompression and Photosynthetic Oxygenation Restores Mitochondrial Function,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313030,no_split,,
GSE313410,Rattus norvegicus,6,2026,original,exclude,no_pain_versus_control_contrast,automatic_screen,Bilayer Bio-instructive Conduits Drive Neuropathic Pain Relief via Multi-level Molecular Reprogramming,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313410,no_split,,
GSE313775,Homo sapiens,66,2025,amendment_2026_08_28,pending,three_cell_subsets_per_subject_pseudoreplication,step05_contrast_audit_2026_08_29,"Circulating Th1, Th1/17, and Th17 cell bulk RNA sequencing from endometriosis patients and controls",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313775,annotated,30.0,36.0
GSE315857,Homo sapiens,8,2026,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,YWHAZ is Downregulated in the Proliferative Eutopic Endometrium in Endometriosis and Is Required Downstream of Progesterone Receptor and STAT3 Signaling.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315857,annotated,4,4
GSE316028,Homo sapiens,6,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Pyruvate carboxylase promotes glycolysis and progression of endometriosis by activating the AKT pathway,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316028,no_split,,
GSE31683,Homo sapiens,10,2012,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Krüppel-like Factor 9 and Progesterone Receptor Co-Regulation of Decidualizing Endometrial Stromal Cells: Implications for its Loss in the Pathogenesis of Endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31683,no_split,,
GSE317107,Rattus norvegicus,8,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Effects of FGF4/HIF-1α axis-mediated neuronal glycolysis on neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317107,no_split,,
GSE318478,Rattus norvegicus,20,2026,amendment_2026_08_28,pending,case_control_split_collapses_four_diet_arms,step05_contrast_audit_2026_08_29,"Omega-3 Fatty Acids Mitigate Neuropathic Pain by Modulating Ferroptosis, Glutamate and Lipid Remodeling",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318478,annotated,13.0,7.0
GSE318938,Mus musculus,24,2026,original,include,already_in_pooled_analysis,automatic_screen,A Critical Role for α7 Nicotinic Acetylcholine Receptor Signaling in Myeloid Lineage Cells in Chronic Neuropathic and Inflammatory Pain Responses,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318938,skipped_existing,,
GSE321975,Mus musculus,8,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Alyref Deficiency Exacerbates Chronic Inflammatory Pain by Impairing m5C-Dependent Nuclear Export of Ccn3 mRNA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE321975,no_split,,
GSE322631,Rattus norvegicus,6,2026,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,RNA-seq of the central amygdala of rats with painful diabetic neuropathy,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE322631,annotated,3.0,3.0
GSE325961,Rattus norvegicus,48,2026,original,include,already_in_pooled_analysis,automatic_screen,Molecular signatures of maladaptive plasticity in the amygdala in a rat model of chronic neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325961,skipped_existing,,
GSE326825,Mus musculus,18,2026,original,include,already_in_pooled_analysis,automatic_screen,Stem cell-derived exosomes inhibit the inflammatory response of microglia in neuropathic pain through m6A modification mechanisms,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326825,skipped_existing,,
GSE327170,Mus musculus,12,2026,original,pending,usable_pending_file_check,automatic_screen,Skin-resident Langerhans Cells Drive Neuropathic Pain via Chemokine-Dependent Neuron-Immune Communication,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327170,no_split,,
GSE328175,Mus musculus,8,2026,original,pending,usable_pending_file_check,automatic_screen,Spinal signatures of entrenched and treated neuropathic pain in male mice [scRNA-seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328175,skipped_existing,,
GSE328464,Homo sapiens,6,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Targeting CCR1-Mediated Macrophage Phenotypic Switching to Alleviate Bladder Pain and Urinary Dysfunction in Interstitial Cystitis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328464,no_split,,
GSE328997,Homo sapiens,35,2026,amendment_2026_08_28,exclude,no_pain_versus_control_contrast,automatic_screen,Endometriosis-derived iPSCs reveal conserved stromal maturation and endocrine responsiveness,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328997,,,
GSE330561,Mus musculus,12,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Non-invasive electrical stimulation restores corneal nerve density and sensory function in diabetic neuropathy via KCNN-dependent mechanism,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE330561,no_split,,
GSE331364,Mus musculus,11,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Fatty acid ethanolamides-producing gut bacteria alleviate gastrointestinal symptoms in diarrhea-predominant irritable bowel syndrome with coexisting insulin resistance,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE331364,no_split,,
GSE332999,Rattus norvegicus,9,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Early high-frequency spinal cord stimulation modulates the ROS/p38 MAPK/NF-κB and CXCL10/CXCR3 pathways to alleviate neuropathic pain and promote spinal cord injury repair,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE332999,no_split,,
GSE333494,Mus musculus,26,2026,amendment_2026_08_28,pending,case_arm_is_a_treated_group_not_the_model,step05_contrast_audit_2026_08_29,Hippocampal CA3 Nex+ neuronal TNFR2 alleviates chronic neuropathic pain by sex-dependently engaging opioid and endocannabinoid pathways,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE333494,annotated,10.0,8.0
GSE334369,Homo sapiens,206,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Paradoxical Phenotype of Fibromyalgia Neutrophils: Elevated Baseline Inflammation but Blunted Response to Stimulation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334369,no_split,,
GSE339400,Homo sapiens,17,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Endometriosis Pain: Genes linked to Inflammation Distinguish Symptomatic from Asymptomatic Disease,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE339400,no_split,,
GSE339493,Mus musculus,41,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Interleukin-33 activated group 2 innate lymphoid cells drive type 2 immune dysfunction in endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE339493,no_split,,
GSE34000,Rattus norvegicus,9,2011,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Expression data from the dorsal root ganglia during streptozotocin-induced painful diabetic neuropathy in rats,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE34000,no_split,,
GSE342076,Mus musculus,10,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Urocortin 1 promotes trigeminal neuropathic pain by enhancing HSPB1-mediated interactions between neurons and non-neuronal cells in the trigeminal ganglion,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE342076,no_split,,
GSE343024,Homo sapiens,46,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Circulating tRNA-Derived Fragments in Women with Endometriosis: A Pilot Study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE343024,no_split,,
GSE343056,Mus musculus,9,2026,amendment_2026_08_28,pending,case_arm_is_a_treated_group_not_the_model,step05_contrast_audit_2026_08_29,"Whole-brain transcriptomic profiling of control, diabetic neuropathic pain, and baclofen-treated mice",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE343056,annotated,3.0,3.0
GSE344046,Mus musculus,8,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,"Sex-, Pain Chronicity- and Cell type-Specific Gene Expression Changes in the Prefrontal Cortex in a Mouse Model of Neuropathic Pain",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE344046,no_split,,
GSE34889,Mus musculus,29,2012,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Molecular Mechanisms of Diabetic Neuropathy: A Transcriptional Profling Study of db/db Mouse Sciatic Nerve,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE34889,no_split,,
GSE35287,Homo sapiens,80,2012,amendment_2026_08_28,exclude,in_vitro_hormone_treatment_not_patient_contrast,rescreen_2026_09_12,"Unique Transcriptome, Pathways, and Networks in the Human Endometrial Fibroblast Response to Progesterone in Endometriosis",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35287,,,
GSE36701,Homo sapiens,221,2012,amendment_2026_08_28,pending,case_control_confounded_with_batch,step05_da_2026_08_29,Gene expression analysis of rectal mucosa in chronic irritable bowel syndrome (IBS) compared to healthy volunteers (HV),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36701,annotated,87.0,37.0
GSE37837,Homo sapiens,36,2012,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Genome-wide expression analysis of autologous eutopic and ectopic endometrium from fertile Indian women with endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37837,no_split,,
GSE38038,Rattus norvegicus,8,2013,original,include,already_in_pooled_analysis,automatic_screen,Profiling Chung rat model for neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38038,skipped_existing,,
GSE44207,Homo sapiens,16,2013,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,CCAAT/enhancer-binding protein alpha is epigenetically silenced by histone acetylation in endometriosis and promotes the pathogenesis of endometriosis: a novel therapeutic target,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44207,no_split,,
GSE45700,Mus musculus,9,2014,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,DNA methylation status of myelinating Schwann cells during development and in diabetic neuropathy [Gene Expression Array: C57Bl6J mice],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45700,no_split,,
GSE45702,Mus musculus,47,2014,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,DNA methylation status of myelinating Schwann cells during development and in diabetic neuropathy,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45702,no_split,,
GSE47603,Homo sapiens,9,2013,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Genome-wide expression profiling of complex regional pain syndrome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47603,annotated,4.0,5.0
GSE5108,Homo sapiens,22,2007,amendment_2026_08_28,exclude,no_pain_phenotype,automatic_screen,Whole human genome DNA microarray analysis of gene expression in ectopic vs. eutopic endometrium,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5108,,,
GSE51294,Rattus norvegicus,8,2013,original,include,already_in_pooled_analysis,automatic_screen,HDAC inhibitors attenuate the development of hypersensitivity in models of neuropathic pain [spinal cord tissue],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51294,skipped_existing,,
GSE51295,Rattus norvegicus,8,2013,original,include,already_in_pooled_analysis,automatic_screen,HDAC inhibitors attenuate the development of hypersensitivity in models of neuropathic pain [DRG tissue],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51295,skipped_existing,,
GSE51296,Rattus norvegicus,16,2013,original,exclude,superseries_duplicates_subseries,series_matrix_gsm_overlap,HDAC inhibitors attenuate the development of hypersensitivity in models of neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51296,skipped_existing,,
GSE51981,Homo sapiens,148,2014,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,Molecular Classification of Endometriosis and Disease Stage Using High-Dimensional Genomic Data,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51981,annotated,77,34
GSE53762,Rattus norvegicus,18,2014,original,pending,usable_pending_file_check,automatic_screen,"Whole genome transcription profiling of the L5 spinal nerve transection model of neuropathic pain in the rat, at different sequencing depths (RNA-Seq)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53762,skipped_existing,,
GSE53764,Rattus norvegicus,6,2014,original,include,already_in_pooled_analysis,automatic_screen,"Whole genome transcription profiling of the L5 spinal nerve transection model of neuropathic pain in the rat, at different sequencing depths (Affymetrix transcript-level)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53764,skipped_existing,,
GSE53860,Rattus norvegicus,6,2014,original,include,already_in_pooled_analysis,automatic_screen,"Whole genome transcription profiling of the L5 spinal nerve transection model of neuropathic pain in the rat, at different sequencing depths (Affymetrix exon-level)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53860,skipped_existing,,
GSE53861,Rattus norvegicus,30,2014,original,pending,usable_pending_file_check,automatic_screen,"Whole genome transcription profiling of the L5 spinal nerve transection model of neuropathic pain in the rat, at different sequencing depths",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53861,skipped_existing,,
GSE57560,Homo sapiens,16,2014,amendment_2026_08_28,pending,feature_ids_are_row_indices_not_probes,step05_da_2026_08_29,Correlation of gene expression with bladder capacity in interstitial cystitis/bladder pain syndrome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57560,annotated,13.0,3.0
GSE57733,Homo sapiens,6,2014,amendment_2026_08_28,pending,platform_table_carries_no_symbol_column,step05b_id_mapping_2026_08_29,Profile of differential expression and DNA methylation status in choriodecidua of women affected with severe endometriosis [Gene Expression],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57733,annotated,3.0,3.0
GSE57832,Homo sapiens,12,2014,amendment_2026_08_28,exclude,superseries_duplicates_subseries,series_matrix_gsm_overlap,Expression and methylation profiles of choriodecidua from pregnant women affected with deep endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57832,annotated,3.0,3.0
GSE58178,Homo sapiens,12,2014,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,Endometriosis: Normal endometrial stromal cells and endometriotic stromal cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58178,annotated,6,6
GSE60670,Mus musculus,23,2015,original,pending,usable_pending_file_check,automatic_screen,High-resolution transcriptome analysis reveals neuropathic pain gene-expression signatures in spinal microglia after nerve injury,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60670,skipped_existing,,
GSE621,Homo sapiens,28,2003,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,Interstitial cystitis and antiproliferative factor treatment,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE621,annotated,6,6
GSE62405,Mus musculus,6,2015,original,pending,usable_pending_file_check,automatic_screen,Nociceptor HDAC4 regulates inflammatory pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62405,no_split,,
GSE63379,Homo sapiens,67,2016,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Genome-wide Expression Profiling in Irritable Bowel Syndrome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63379,annotated,35.0,32.0
GSE63442,Rattus norvegicus,12,2015,original,include,already_in_pooled_analysis,automatic_screen,A novel functional role for the serine protease inhibitor SerpinA3N and its substrate leukocyte elastase in neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63442,skipped_existing,,
GSE6364,Homo sapiens,37,2007,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Gene Profiling of Endometrium Reveals Progesterone Resistance and Candidate Genetic Loci in Women with Endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6364,annotated,21.0,16.0
GSE65997,Mus musculus,50,2015,original,pending,usable_pending_file_check,automatic_screen,The Nicotinic alpha6 Subunit Gene Determines Variability in Chronic Pain Sensitivity and Nicotine Anti- allodynia via Cross-inhibition of P2X2/3 Receptors.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65997,no_split,,
GSE66824,Homo sapiens,66,2015,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Genomic and Clinical Effects Associated with a Relaxation Response Mind-Body Intervention in Patients with Irritable Bowel Syndrome and Inflammatory Bowel Disease,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66824,no_split,,
GSE67311,Homo sapiens,142,2016,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Peripheral Blood Gene Expression in Fibromyalgia Patients Reveals  Potential Biological Markers and Physiological Pathways,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67311,annotated,67.0,75.0
GSE71527,Mus musculus,18,2015,original,pending,usable_pending_file_check,automatic_screen,RGS9-2-controlled adaptations in the striatum determine the onset of action and eficacy of antidepressants in neuropathic pain states,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71527,skipped_existing,,
GSE72428,Papio anubis; Homo sapiens,19,2015,amendment_2026_08_28,pending,repeated_samples_per_animal_pseudoreplication,step05_contrast_audit_2026_08_29,"Changes in eutopic endometrial gene expression during the progression of experimental endometriosis in the baboon, Papio anubis",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72428,annotated,15.0,4.0
GSE7305,Homo sapiens,20,2007,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,Human endometriosis vs normal endometrium study - transcriptional profiling,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE7305,annotated,10,10
GSE73622,Homo sapiens,50,2015,amendment_2026_08_28,exclude,cultured_cells_across_passage_and_cell_type,rescreen_2026_09_12,Human Endometrial Fibroblasts Derived from Mesenchymal Progenitors Inherit Progesterone Resistance and Acquire an Inflammatory Phenotype in the Endometrial Niche in Endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73622,,,
GSE77182,Homo sapiens,5,2016,amendment_2026_08_28,exclude,no_pain_phenotype,automatic_screen,LNCRNAs and mRNAs in a Gynecological Disease,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77182,,,
GSE7846,Homo sapiens,10,2007,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Differentially expressed genes in HEECs of eutopic endometrium of patients with endometriosis compared with control,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE7846,annotated,5.0,5.0
GSE79698,Mus musculus,6,2017,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,The effect of niclosamide on the growth and progression of endometriosis in an experimental mouse model,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79698,no_split,,
GSE86534,Homo sapiens,12,2019,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Genome-wide long non-coding RNAs and mRNAs analysis of the tissues related to ovarian endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86534,no_split,,
GSE86572,Homo sapiens,6,2017,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Gene-expression analysis of iEEC16 endometriosis cells with ARID1A KD,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86572,no_split,,
GSE87809,Homo sapiens,9,2017,amendment_2026_08_28,pending,matrix_columns_absent_from_sample_metadata,step05_contrast_audit_2026_08_29,Epigenetic alterations affecting transcription factors and signaling pathways in stromal cells of endometriosis: Expression data (RNA-seq),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87809,annotated,4.0,5.0
GSE87810,Homo sapiens,18,2017,amendment_2026_08_28,exclude,superseries_duplicates_subseries,series_matrix_gsm_overlap,Epigenetic alterations affecting transcription factors and signaling pathways in stromal cells of endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87810,annotated,4.0,5.0
GSE89224,Mus musculus,40,2018,original,include,already_in_pooled_analysis,automatic_screen,Mechanistic differences in neuropathic pain modalities revealed by correlating behavior with global expression profiling [microarray],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89224,skipped_existing,,
GSE91396,Mus musculus,36,2017,original,include,already_in_pooled_analysis,automatic_screen,Neuropathic pain promotes gene expression adaptations in brain networks involved in stress and depression,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE91396,skipped_existing,,
GSE92472,Homo sapiens,15,2017,amendment_2026_08_28,exclude,no_pain_phenotype,automatic_screen,Expression of long non-coding RNAs in autoimmunity and linkage to enhancer function and autoimmune disease risk genetic variants,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92472,,,
GSE92718,Mus musculus,24,2019,original,include,already_in_pooled_analysis,automatic_screen,Gene expression analysis of neuropathic pain-induced depression in the anterior cingulate cortex of mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92718,skipped_existing,,
GSE94414,Homo sapiens,15,2017,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Transcriptome analysis of samples from patients with endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94414,no_split,,
GSE99265,Mus musculus,15,2017,original,pending,usable_pending_file_check,automatic_screen,MicroRNA-183 cluster continuously scales mechanical pain sensitivity by regulating basal and neuropathic pain gene pathways.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99265,skipped_existing,,
GSE99949,Homo sapiens,8,2018,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Next-generation sequencing of matched ectopic and eutopic endometrium identifies novel endometriosis-related genes and highlights the role of general metabolism,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99949,no_split,,
